"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000147689",6280.5759720639,6.79321670926574,0.235882516286756,28.7991531386218,2.19797558660622e-182,5.88507963313815e-178
"ENSG00000183010",3605.41033706702,3.68087407382114,0.132640593373283,27.7507358811511,1.70721210861781e-169,2.28553021041209e-165
"ENSG00000165312",1102.1458492335,-2.11834853259057,0.0807923517377386,-26.2196666767044,1.58587808404423e-151,1.41539619000948e-147
"ENSG00000272620",2792.63409797527,6.30637093905756,0.256450796124779,24.590958711585,1.57834227838441e-133,1.05650286259356e-129
"ENSG00000116016",27058.9598686053,-2.72220918385874,0.111074985428364,-24.5078509203532,1.21824465062497e-132,6.52370010409674e-129
"ENSG00000135604",806.624193067002,-3.06786397470061,0.125733157332427,-24.399800655522,1.71853496733759e-131,7.66896229174399e-128
"ENSG00000235387",65.2120458170255,-2.72130957773918,0.111748642071289,-24.35205947293,5.51328091704699e-131,2.10882995077048e-127
"ENSG00000261371",11831.9691260106,-2.32187593908425,0.0956527402347656,-24.2740138273671,3.68879817485483e-130,1.23459463914673e-126
"ENSG00000175832",1983.17503629746,3.85041666986718,0.159403349538073,24.1551804339439,6.58707426150395e-129,1.95965459279743e-125
"ENSG00000162062",266.398942240377,3.5059942702415,0.14563602142693,24.0736751518618,4.71781536284321e-128,1.26319506340127e-124
"ENSG00000183856",1349.14481621914,3.60854940696951,0.150876965432073,23.9171658618368,2.03029664472464e-126,4.94192660568203e-123
"ENSG00000131747",5326.81949720851,3.86184189040788,0.162115594806191,23.8215323764794,1.99830330171407e-125,4.45871424194952e-122
"ENSG00000204949",210.208900302722,6.62029504988104,0.278867255676358,23.7399512317226,1.39541526205647e-124,2.87401874165861e-121
"ENSG00000170989",1759.50522712951,-2.85790100689316,0.120468603430536,-23.7232019423308,2.07795116240622e-124,3.9740815981019e-121
"ENSG00000179913",2103.55225417081,4.35163759664795,0.183634435026227,23.6972852941575,3.8457230501882e-124,6.86461564458594e-121
"ENSG00000139567",2207.93530367505,-2.57255845694559,0.109318543108675,-23.532681499315,1.88863225677777e-122,3.16050804220155e-119
"ENSG00000102760",3350.23930751901,-2.88356529781183,0.122607034983322,-23.518758921167,2.62211502743436e-122,4.12983116820912e-119
"ENSG00000213853",14456.1796258312,-2.73430481794646,0.117401317544776,-23.290239625323,5.56735131489021e-120,8.28143508089918e-117
"ENSG00000010319",706.939231333693,-3.23059677732512,0.138802974890148,-23.2746940754108,8.00065502757544e-120,1.12746072822806e-116
"ENSG00000186193",440.10071874521,3.77400828480396,0.162761866460226,23.1873003602243,6.11613042276503e-119,8.18796960347669e-116
"ENSG00000182010",2072.25011179455,-4.06679642015625,0.175862212815627,-23.1249019049923,2.60109936956239e-118,3.31640169619205e-115
"ENSG00000286042",1281.90123767722,7.82865061988599,0.340072355872586,23.0205439657058,2.90280377634285e-117,3.53284414143545e-114
"ENSG00000120156",943.704386109004,-3.25453916130829,0.141417280508459,-23.0137303560552,3.39669124128257e-117,3.95419165153656e-114
"ENSG00000070778",1156.91997133543,-2.44738797921435,0.106871028476392,-22.9003876364396,4.60503749856202e-116,5.13749495933325e-113
"ENSG00000122679",1096.93948749565,-3.2329817032072,0.14199032343508,-22.7690283745665,9.29844220736706e-115,9.95863160409012e-112
"ENSG00000090889",845.189134257689,3.81806409173642,0.167946862094942,22.7337625967553,2.07747157202966e-114,2.1393962054267e-111
"ENSG00000077152",828.583288545898,3.30990439726656,0.146856777785659,22.538315542354,1.7484497581764e-112,1.73387934352493e-109
