"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","188/5608","233/9447",0.8068669527897,1.35921399839592,6.71005416909669,1.74234144734552e-12,6.04592482228895e-10,2.86110806090422e-10,"COL11A1/SPTBN2/FHL1/PDLIM2/SGCG/SPTBN1/TNNC1/ANKRD1/LMNB1/COL1A1/FHL2/THBS2/ITGA11/COL3A1/MYL9/ACTN2/DES/CSRP1/ITGA8/COL6A6/COL5A2/COL24A1/SYNE3/LMOD1/MYH10/MYH2/TRIM54/DSP/COL5A1/PDLIM1/ENO1/SPTAN1/NEBL/SYNPO2/LMOD3/SGCA/COMP/TLN1/TMOD1/ATP1A2/TNNT1/DSG2/CKM/ENO3/VIM/DCN/MYBPH/VCAN/ATP1B2/MYH11/SGCB/LDB3/COL9A2/MYOM2/MYBPC1/MYL3/TMOD3/MYOZ3/LMNB2/FBLN1/TNNC2/DIAPH2/ITGB4/TMOD2/MYH6/COL1A2/MYOZ1/SUN2/ATP1B1/COL9A3/NEB/ZYX/ITGA2/TNNI3/SDC2/COL6A3/AMPD3/ITGAV/SPTBN5/AMPD2/COL9A1/SYNE1/COL6A5/LBR/THBS3/MYPN/JUP/COL4A4/ANKRD23/MYBPC2/FMNL3/SGCE/COL4A3/TNNI2/ACTG2/SDC1/MYL4/MYH7/C10orf71/COL11A2/PDLIM4/FHL3/ITGA1/THBS4/ITGB8/VCL/TNNI1/TNNT3/SDC4/PKP2/ATP1A3/ITGA10/ENO2/DMD/ATP1B3/ANK3/SNTB2/SGCD/XIRP2/DAAM2/NRAP/SNTA1/SUN1/MYOM3/DSC2/LAMA2/ITGB3/FBN2/TNNT2/PDLIM3/COL4A5/CAPN3/COL27A1/TPM4/LMNA/THBS1/PDLIM7/TMEM43/ITGA5/MYL11/AGRN/MYH14/ELN/ITGA9/FBN3/DIAPH1/TCAP/SPTBN4/MYH9/ACTG1/CAPZA1/COL5A3/MYH1/LAMA1/ANK2/ATP1A1/MYOT/MYOZ2/COL4A2/MYH15/FMNL1/ACTN3/MYL5/TPM3/DAAM1/NID2/COL4A6/XIRP1/PLEC/ITGB5/TRIM55/SSPN/ACTC1/ATP1A4/BGN/TRIM63/ITGA4/MYBPHL/DIAPH3/TPM1/MYOM1/COL6A1/FBN1/PDLIM5/MYH13/ITGB7/AMPD1/CAPZA2",188
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","76/5608","85/9447",0.894117647058824,1.50619283376689,5.66578452668348,7.92589476793723e-10,1.37514274223711e-07,6.50757675683268e-08,"RRM2/ENTPD8/XDH/NME1/TK1/AK4/NME4/DTYMK/TYMS/CANT1/ADSS1/HPRT1/ENTPD2/NT5E/ENTPD6/ADSS2/CDA/NME2/ADSL/GDA/RRM1/AK2/ADA2/GMPS/AMPD3/ENPP3/CTPS2/CTPS1/DCTPP1/AMPD2/ENTPD5/AK1/ITPA/AK7/DGUOK/UCK2/NT5C3A/ENTPD4/UCKL1/ADA/NT5C3B/IMPDH2/NT5C1A/APRT/AK3/NT5DC4/TYMP/NT5M/AK8/NT5C/LACC1/NT5C1B/GMPR/ADK/NT5C2/ENPP1/UPP1/TK2/NME3/RRM2B/GUK1/ENTPD1/NUDT16/IMPDH1/NME7/AK9/DCTD/AK5/UPP2/UCK1/CMPK1/ENTPD3/HDDC2/DCK/PNP/AMPD1",76
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","129/5608","158/9447",0.816455696202532,1.37536679066072,5.75067502910578,1.29992921056583e-09,1.50358478688781e-07,7.11540199467613e-08,"CDC25C/CDC20/CDC6/BUB1B/ORC6/PLK1/CCNB1/CCNB2/SGO1/AURKB/CDC45/TTK/NDC80/PKMYT1/ESPL1/CDCA5/CCNA2/CHEK1/TICRR/KNL1/CCNE1/ORC1/CDT1/MCM4/ESCO2/BUB1/MAD2L1/CDK1/E2F2/PTTG1/E2F3/TRIP13/CDC25A/MTBP/CDKN2A/MCM6/MCM2/CCNE2/GADD45B/CHEK2/DBF4/SMC1B/DBF4B/DDX11/PPP2CB/E2F5/MCM7/HDAC1/PRKDC/BUB3/PCNA/E2F1/SKP2/CDC7/YWHAZ/ORC5/MCM3/ORC2/CDC14A/RBL1/CCND2/CDKN2B/PPP2R5A/MAD2L2/FBXO5/CDKN1A/CDK7/CDK4/CDKN1C/ANAPC7/ANAPC1/TFDP1/ANAPC11/ATR/MCM5/HDAC2/HDAC8/YWHAG/CDKN2C/ESCO1/PDS5B/PPP2R5B/ANAPC5/TGFB2/SMAD4/MAD2L1BP/CDK2/SFN/CCND3/RBL2/E2F4/ANAPC16/PPP2R1B/TP53/WAPL/TGFB1/RB1/PDS5A/ORC4/CCNA1/PPP2R5E/CDC25B/YWHAB/GADD45G/YWHAQ/CCNB3/RAD21/GSK3B/GADD45A/FZR1/CDKN2D/ANAPC4/MAD1L1/YWHAH/SMC3/ZBTB17/EP300/CDC27/NIPBL/WEE1/CDC23/PPP2R5D/SMC1A/PPP2R5C/ANAPC10/CDKN1B/MYC/ATM/ANAPC15",129
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","348/5608","483/9447",0.720496894409938,1.21371864505897,5.82752265628635,1.77639697918662e-09,1.54102437944439e-07,7.29257707245033e-08,"SPTBN2/TUBB3/STX1A/AGER/CAT/GPX2/WNT3A/COX7A1/TRAP1/COX4I2/TUBB1/DNAH14/WNT3/CASP12/DKK2/GNAQ/GRIN1/CHRM1/GRIA1/GPX3/TUBB2B/CALM1/IL6/FZD4/UCHL1/GPR37/COX6B2/FIG4/PPIF/KIF5A/HSPA5/ULK2/NDUFA13/GRIN2D/PPP3CC/SNCA/SLC6A3/CDK5R1/ATP2A1/CACNA1S/SEM1/TUBB6/CASP3/PSMD4/TRAF2/BECN2/PSMD11/BDNF/PSMB4/TUBB8/PSMD14/CALML6/ATP2A2/ATXN1L/GPX8/NOX1/WNT9A/CAMK2A/CALML5/PSMC4/TUBA1A/CAMK2B/COX7B2/LRRK2/ATXN2L/NOX4/NDUFS6/TUBA1C/WNT2B/FZD9/SDHA/CYBB/PSMA6/BAK1/PRKCG/DNAL1/NDUFS2/TUBB4A/VDAC1/SIGMAR1/PSEN2/UQCRH/UQCRHL/PSMB3/TUBA4A/CYC1/CDK5/NDUFS8/PSMA5/NDUFV2/APC/WNT10A/KLC3/NEFH/PSMB2/CCS/TOMM40/PSMD3/WNT6/TUBA3D/TUBB2A/PSMB5/PSMC6/KLC2/PRNP/DNAH10/WNT7A/PSMD12/TUBB/DKK1/FZD3/AXIN1/PSMA1/CSNK2B/PSMD1/CACNA1B/TRPC3/COX6C/DCTN5/MAPK13/MAP1LC3C/DVL3/WNT16/TUBAL3/ULK1/ATP5PD/PSMD2/FZD5/ATP5MC1/IFT57/NDUFV1/FADD/NEFL/WNT2/PSMD7/TOMM40L/WIPI2/PSMA2/DNAI2/CSNK2A1/WNT10B/KRAS/CASP8/PINK1/SDHC/ADRM1/ZFYVE1/PSMC5/MCU/MFN1/DNAH9/DNAI1/FUS/CYCS/NDUFB4/C9orf72/SEPTIN5/NDUFB9/KIF5C/DCTN1/WNT8B/RAB8A/COX6B1/AXIN2/TNFRSF1B/DKK4/VDAC3/SLC25A4/MTOR/ACTR1A/IL1B/NDUFS5/NDUFAB1/COX6A1/PRKN/HSD17B10/DNAH6/DNAH12/DDIT3/PLCB1/NDUFB11/MAPK3/MT-ND6/GRIA4/SOD1/NOS1/WNT11/NDUFA10/MAP2K6/DVL1/WNT5B/ATG14/MAP1LC3B/MFN2/IL1A/GRIA2/HAP1/UQCRQ/PSMA3/RAB1A/PRKCB/CACNA1C/PPID/PARK7/PSMC2/UBE2J2/MAPK10/CSNK1E/COX5B/NDUFS1/MAP2K3/COX5A/ATP5MC3/XBP1/TUBA8/NDUFA12/CAPN1/UBB/FZD10/ATP5F1C/ATXN3/ITPR1/GRIN2C/GRIN2A/GPX7/PSMD13/DCTN6/NDUFB10/NDUFA11/PLCB3/HTT/WNT1/TARDBP/ATP5F1E/DCTN3/PSMB7/RYR2/WNT7B/DLG4/MAPK11/MAPK12/UBA7/MT-ND5/HIP1/PIK3C3/TUBB8B/DNAH7/PSMA7/MAP3K10/DNAH2/PSMA4/ATP5MC2/FRAT1/DAXX/EIF2AK3/PSMD8/ATP2A3/CSF1/NFKB1/CHRM5/WIPI1/NDUFB3/FZD7/HTRA2/CALML4/PLCB2/WNT9B/NDUFA9/WDR41/FAS/UQCRC1/DNAH1/GSK3B/BECN1/NDUFB8/MAPK1/TBK1/NDUFA8/NDUFS3/DNALI1/NDUFA7/SMCR8/CHRM3/COX8A/SQSTM1/FZD8/PSMC3/OPTN/RAB5A/DCTN4/PLCB4/ATG2B/ATP5F1B/UBC/ATG2A/RAC1/PPP3CB/FRAT2/PRPH/DNAH11/DVL2/BAX/NDUFA1/PPP3CA/SLC25A5/FZD6/CASP7/UBE2G2/PSMC1/CSNK2A3/BID/VDAC2/DERL1/PSMD9/DCTN2/VCP/MAP1LC3A/LRP5/ARAF/DNAH3/PRKCA/NOS2/RYR1/CHRNA7/UBA1/COX7B/ATXN1/NRAS/GRM1/NDUFV3/COX7A2/MAPT/RAF1/CTNNB1/MT-ND3/ATP5PF/ATG101/NDUFB2/ITPR3/PSMB6/MAP2K2/UQCRC2/RPS27A/UQCRFS1/HRAS/APP/CACNA1F/EIF2S1",348
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","123/5608","157/9447",0.78343949044586,1.31974908456527,4.8828141676798,3.08629386562152e-07,2.14056822160036e-05,1.01297934952118e-05,"PECAM1/S1PR1/AGER/SLC2A1/P2RY6/SIRPB1/HAVCR1/CD36/ANO7/GAS6/ALOX5/PTGER4/PROS1/RAB14/ANO6/NFATC1/ANO9/DUSP4/XKR9/ATP2A1/SIRPA/MEGF10/DNMT3A/LIPA/C1QA/CPT1B/CASP3/C1QB/NFATC4/CRK/DUSP8/SGK1/ATP2A2/PPARG/ADGRB1/CAMK2A/RXRA/SIRPG/CAMK2B/CALR/SCARF1/CD24/ITGAV/NFATC3/CX3CR1/LRP1/AXL/PTPN6/CASP1/PLA2G15/VPS33A/C1QC/ELMO1/JAK2/VPS39/ALOX15/MAPK13/ARG2/STAB2/HIF1A/ARG1/CPT1A/RAB5B/PANX1/P2RY12/HAVCR2/CD47/PTK2/CX3CL1/ABCA1/ITGB3/ODC1/NR1H2/DUSP7/MAPK3/GPR132/PBX1/SLC16A1/DUSP16/CPT1C/SLC66A1/THBS1/NFATC2/ANO5/TGFB1/XKR8/ADAM9/ATP8A1/MAPK11/MAPK12/ATP8A2/RAB7A/PLA2G6/XKR6/TMEM30A/ARNT/ATP2A3/DUSP5/GULP1/PPARD/VPS16/ATP11C/RAB17/MAPK1/RAB5A/SPHK1/CH25H/ADAM10/ADAM17/RAC1/RAB5C/PTPN11/SIGLEC10/TIMD4/ITGB5/CASP7/VPS11/ANO3/NR1H3/BSG/MAP2K2/UQCRFS1/SIRT1",123
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","129/5608","166/9447",0.77710843373494,1.30908405376141,4.85570366085633,3.70127070017353e-07,2.14056822160036e-05,1.01297934952118e-05,"EDNRB/PRKCE/ADRB2/NPR1/ADCY4/GNAQ/PRKG2/MYL9/ADRB1/PDE2A/KCNMB3/MEF2A/CALM1/CREB3L4/PDE5A/CNGB1/ADRA1A/PPIF/NFATC1/GUCY1A2/ATP1A2/SRF/GNAI2/PPP3CC/ATP2A1/CACNA1S/CNGA1/ATP1B2/NFATC4/PIK3R5/ADCY9/PRKG1/KCNU1/NPR2/CALML6/MYLK/RHOA/ATP2A2/GNA11/MYH6/CALML5/ATP1B1/ADRA1D/OPRD1/VDAC1/AGTR1/NFATC3/ADCY8/SLC8A3/KCNJ8/CREB3L2/AKT3/MYH7/SLC8A1/MYLK3/KCNMB2/ATP1A3/KNG1/EDNRA/SLC8A2/ATP1B3/ATF6B/PDE3B/ADRA2A/VDAC3/SLC25A4/PLCB1/MAPK3/PLN/ATP2B4/MYLK2/RGS2/GUCY1A1/ROCK1/CACNA1C/NFATC2/IRS1/BORCS8-MEF2B/PPP1CA/ADORA1/ITPR1/NPPC/PIK3CG/PLCB3/GUCY1B1/PDE3A/GATA4/ATF2/MEF2C/ATP2A3/PPP1CC/CALML4/PLCB2/ADORA3/CREB5/MAPK1/ATP1A1/BDKRB2/IRAG1/KCNMB1/PLCB4/ADCY7/VASP/MEF2D/GTF2I/PPP3CB/ADRA2C/AKT2/PPP3CA/SLC25A5/CREB3L1/ATP2B1/ADRA1B/ATP1A4/GNA12/GNAI1/VDAC2/TRPC6/CREB3/ROCK2/CREB3L3/FXYD2/INSR/GNA13/ATP2B3/RAF1/ITPR3/MAP2K2/CACNA1F",129
"hsa00230","Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","102/5608","128/9447",0.796875,1.34238197664051,4.71357195156814,7.17498796285158e-07,3.28174134168123e-05,1.55301577218951e-05,"RRM2/PAICS/PPAT/ENTPD8/XDH/NME1/NPR1/ADCY4/ATIC/PAPSS1/AK4/PDE2A/GART/PDE5A/NME4/PAPSS2/GUCY1A2/PDE1B/PDE8B/CANT1/ADSS1/HPRT1/ADCY9/ENTPD2/NT5E/NPR2/ENTPD6/ADSS2/NME2/ADSL/PRPS2/GDA/GUCY2C/RRM1/AK2/PFAS/ADA2/GMPS/AMPD3/ENPP3/AMPD2/ADCY8/ENTPD5/AK1/ITPA/AK7/PGM1/DGUOK/ENTPD4/PRUNE1/ADA/IMPDH2/PDE11A/PDE4B/NT5C1A/NUDT9/PDE10A/APRT/PDE1C/AK3/NT5DC4/ENPP4/PDE4C/ADCY10/PDE3B/NUDT5/NT5M/AK8/GUCY1A1/PDE9A/PDE6A/NT5C/LACC1/NT5C1B/GMPR/GUCY1B1/PDE3A/ADK/NT5C2/ENPP1/NME3/PDE7B/PDE6D/PDE4A/RRM2B/GUK1/ENTPD1/NUDT16/ADPRM/ADCY7/PRPS1/PDE7A/IMPDH1/NME7/AK9/AK5/ENTPD3/HDDC2/PDE6C/DCK/PNP/AMPD1",102
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","154/5608","204/9447",0.754901960784314,1.27167596710582,4.74109596452192,7.56597427476941e-07,3.28174134168123e-05,1.55301577218951e-05,"CAV1/HBEGF/WNT3A/WNT3/CAV2/COL1A1/TFAP4/PAK1/TIMP3/GAB1/PLAU/FZD4/MRAS/TLR4/RRAS/FGF2/PLCE1/CAV3/CTTN/PIK3R1/DROSHA/RDX/GPC3/HPSE2/TWIST1/DCN/CASP3/MMP9/RHOA/WNT9A/CAMK2A/RPS6KB2/COL1A2/CAMK2B/ITGA2/WNT2B/FZD9/SDC2/PRKCG/MSN/CD44/CDKN1A/ITGAV/PTPN6/WNT10A/WNT6/ERBB2/AKT3/PPP1R12C/WNT7A/ERBB3/DDX5/FZD3/ERBB4/SDC1/RPS6KB1/MAPK13/WNT16/PIK3R3/FZD5/PRKACA/NUDT16L1/WNT2/TWIST2/SDC4/MET/HIF1A/WNT10B/KRAS/SRC/TGFB2/PTK2/WNT8B/ANK3/MTOR/PIK3R2/PTCH1/ANK1/ITGB3/MAPK3/SMO/WNT11/PLCG2/WNT5B/TP53/ROCK1/ELK1/PRKCB/THBS1/VAV2/TGFB1/FLNA/PPP1CA/GRB2/FZD10/STAT3/ITGA5/ITPR1/TIAM1/HGF/HCLS1/IL12B/WNT1/ESR1/HPSE/WNT7B/MAPK11/MAPK12/KDR/CBL/PPP1R12B/HOXD10/EZR/IHH/FZD7/ACTG1/PPP1CC/IQGAP1/WNT9B/SLC9A1/TLR2/FAS/SOS2/ARHGEF12/MAPK1/ANK2/FGFR1/PXN/FZD8/VEGFA/CDC42/RAC1/PTPN11/GPC1/PDPK1/AKT2/ITGB5/VTN/FZD6/RRAS2/ROCK2/ARAF/PRKCA/EGFR/NRAS/PIK3CA/RAF1/CTNNB1/MYC/PDCD4/MMP2/ITPR3/MAP2K2/HRAS",154
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","77/5608","93/9447",0.827956989247312,1.39474138327735,4.62353731685953,9.72233562778431e-07,3.74850051426795e-05,1.77389983384135e-05,"CDH5/RASIP1/PTPRB/NECTIN4/HEG1/TGFBR2/PTPN1/MYL9/RAC3/WASF3/RAP1A/SORBS1/LMO7/RADIL/PTPRM/TJP1/NECTIN1/CDH1/ARHGAP29/RHOA/WASF1/WASF2/PTPN6/CCM2/ACP1/ERBB2/CSNK2B/LEF1/SSX2IP/WAS/FYN/VCL/MET/CSNK2A1/SRC/SMAD4/AFDN/MYL12A/FER/MAPK3/ROCK1/MYL11/NECTIN2/PTPRF/ACTN4/KRIT1/TCF7L2/SMURF1/RAC2/ACTG1/IQGAP1/MYL12B/MAP3K7/BAIAP2/FARP2/MAPK1/SNAI1/CTNNA2/FGFR1/RAP1B/CDC42/CTNNA3/MYL5/RAC1/CTNND1/TCF7L1/PARD3/EP300/CSNK2A3/NLK/ROCK2/PDCD10/WASL/EGFR/INSR/CTNNB1/NECTIN3",77
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","172/5608","232/9447",0.741379310344828,1.24889628117468,4.63909907309294,1.35049188524489e-06,4.68620684179975e-05,2.21764983261265e-05,"IQGAP3/RGCC/ITGA11/PAK1/MYL9/CHRM1/RAC3/ITGA8/FGF19/CFL2/MYH10/ARHGEF6/PIP5K1B/FGFR4/MRAS/PDGFB/FGF10/CYRIA/RRAS/FGF2/F2/LPAR2/EGF/FGD3/LIMK1/PIK3R1/RDX/FGFR2/SSH2/MYH11/PAK6/NCKAP1L/CRK/CHRM2/MYLK/RHOA/WASF1/ACTR3B/DIAPH2/ITGB4/PFN4/FGF5/ITGAL/CXCL12/ITGA2/PFN2/MSN/WASF2/ITGAV/ENAH/C7/C8B/ABI2/APC/ARPC1A/AKT3/PPP1R12C/ITGAX/SPATA13/C8G/FGF20/INSRR/SCIN/PIP4K2C/ARPC2/C6/SSH3/PAK3/PIK3R3/ITGA1/MYLK3/ITGB8/VCL/FGD1/ITGAM/TMSB4X/GSN/KRAS/ARPC5L/KNG1/ITGA10/SRC/ARHGAP35/PIP5K1A/PTK2/MYL12A/PIK3R2/LIMK2/ITGB3/SSH1/CYRIB/ITGAE/MAPK3/LPAR5/MYLK2/FGF7/PIP5K1C/ROCK1/PDGFA/VAV2/CHRM4/PPP1CA/PAK5/ITGA5/TIAM1/MYL11/NCKAP1/ITGB2/ARPC5/MYH14/ITGA9/PPP1R12B/EZR/ACTN4/DIAPH1/ARPC1B/IQGAP2/CHRM5/RAC2/MYH9/ACTG1/PPP1CC/IQGAP1/ACTR3/SLC9A1/MYL12B/F2R/PDGFC/CYFIP1/BAIAP2/SOS2/ARHGEF12/MAPK1/FGF8/ARPC3/FGFR1/BDKRB2/CHRM3/GIT1/PXN/CDC42/PDGFD/BRK1/MYL5/RAC1/ACTR3C/CFL1/LPAR4/AKT2/ITGB5/FGF18/C9/GNA12/RRAS2/ITGA4/ROCK2/C8A/ARAF/WASL/PDGFRA/DIAPH3/CYFIP2/ARHGEF7/EGFR/NRAS/PIK3CA/GNA13/ARHGEF4/RAF1/ITGB7/MAP2K2/HRAS",172
